user_id,first_name,last_name,email,password,token,code,verified,verified_at,created_at,updated_at
12,Sharvil,Rane,sharvil.rane@cadmus.com,$2a$10$y8rYym3J1oSL.5pXGI2h5.4ls11VsKrntwQtVxsCNQEti./Xaj9Ga,NULL,NULL,1,"2023-04-05 00:30:00","2023-04-05 00:30:00","2023-04-05 00:30:00"
13,Rakesh,Rane,rakesh.rane@cadmus.com,$2a$10$PUkYorIUOYZrG5xY1YmkK.Pv/vUhKO4RqqaEMWb.tjsV7KRq6jnwa,NULL,NULL,1,"2023-04-07 23:52:00","2023-04-07 23:52:00","2023-04-07 23:52:00"
14,Shilpa,Rane,jerejad858@lieboe.com,$2a$10$7PhdcCW/Q9aG5.JgBsQY/Ok3GhIOFyQ6DFeMjiOZ4aq1siT9W4OIW,NULL,NULL,1,"2023-04-17 19:14:00","2023-04-17 19:11:00","2023-04-17 19:14:00"
22,Sharat,Chandran,sharat.chandran@gmail.com,$2a$10$rr2Qn/DS7L0UyRFln3/Cx.tZDbYUSrwxGycoIcZ9vHaR2jV5ANtV2,NULL,NULL,1,"2023-05-04 23:44:00","2023-05-04 23:44:00","2023-05-04 23:44:00"
23,Kajal,Mallick,kajal.mallick@gmail.com,$2a$10$baEPWBPnL0KhQSJGcYsYPOqlM9I.OVyOiNGoJvAd1FB191EeXpIru,NULL,NULL,1,"2012-04-21 13:59:00","2012-04-21 13:54:00","2023-05-05 23:41:00"
24,Nahar,Singh,nahar.singh@gmail.com,$2a$10$Y0qQ.MUJftdrhmCM/A4KMuMRHMZYPMk90KxqIOKFEqppLXJuVdpRC,NULL,NULL,1,"2017-08-23 02:58:00","2017-08-23 02:53:00","2023-05-05 04:46:00"
25,Kanika,Kathuria,kanika.kathuria@gmail.com,$2a$10$lnEj.pmq9dzJffQ1DlGw5enAMIz2VcCWdoDLH0s1gRQpcspHH2Kdu,NULL,NULL,1,"2021-10-25 13:36:00","2021-10-25 13:31:00","2023-05-05 01:37:00"
26,Jyoti,Mathur,jyoti.mathur@gmail.com,$2a$10$5wexZbiBu0W2hKGgK3qGXe.dgGNWTKobijM13VUZxHfgRn34.qA1i,NULL,NULL,1,"2020-11-28 14:21:00","2020-11-28 14:16:00","2023-05-05 04:48:00"
27,Maansingh,Aswal,maansingh.aswal@gmail.com,$2a$10$sRJ/EFg/IqaTVeUbaWbtWOLMojamNZ6Dc6zQAsRBkhr1seu2KNNaq,NULL,NULL,1,"2011-05-22 22:41:00","2011-05-22 22:36:00","2023-05-05 18:51:00"
28,Priya,Jain,priya.jain@gmail.com,$2a$10$uEqH7.kMCcuwNctV0lXU1OeHHE0C7qfAiXVq9i6qyyENtJsze44Na,NULL,NULL,1,"2010-09-28 03:36:00","2010-09-28 03:31:00","2023-05-05 15:35:00"
